,Date,Período,Região,Estado,Variantes,Variantes relevantes,Classificação,Frequência
653,2020-12,Dez 2020,Nordeste,Paraíba,P.2,P.2,VOC/VOI,10
654,2020-12,Dez 2020,Nordeste,Pernambuco,B.1.1,Não VOC/VOI,Não VOC/VOI,2
655,2020-12,Dez 2020,Nordeste,Pernambuco,B.1.1.45,Não VOC/VOI,Não VOC/VOI,1
656,2020-12,Dez 2020,Nordeste,Pernambuco,B.1.212,Não VOC/VOI,Não VOC/VOI,1
657,2020-12,Dez 2020,Nordeste,Pernambuco,B.1.258,Não VOC/VOI,Não VOC/VOI,1
658,2020-12,Dez 2020,Nordeste,Pernambuco,N.9,Não VOC/VOI,Não VOC/VOI,1
659,2020-12,Dez 2020,Nordeste,Pernambuco,P.2,P.2,VOC/VOI,12
660,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,AL.1,Não VOC/VOI,Não VOC/VOI,1
661,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,B.1.1,Não VOC/VOI,Não VOC/VOI,3
662,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,B.1.1.28,Não VOC/VOI,Não VOC/VOI,2
663,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
664,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,B.1.1.398,Não VOC/VOI,Não VOC/VOI,1
665,2020-12,Dez 2020,Nordeste,Rio Grande do Norte,P.2,P.2,VOC/VOI,11
666,2020-12,Dez 2020,Norte,Acre,P.2,P.2,VOC/VOI,1
667,2020-12,Dez 2020,Norte,Amapá,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
668,2020-12,Dez 2020,Norte,Amapá,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
669,2020-12,Dez 2020,Norte,Amapá,B.1.160.25,Não VOC/VOI,Não VOC/VOI,1
670,2020-12,Dez 2020,Norte,Amapá,P.2,P.2,VOC/VOI,13
671,2020-12,Dez 2020,Norte,Amazonas,B.1,Não VOC/VOI,Não VOC/VOI,3
672,2020-12,Dez 2020,Norte,Amazonas,B.1.1,Não VOC/VOI,Não VOC/VOI,12
673,2020-12,Dez 2020,Norte,Amazonas,B.1.1.28,Não VOC/VOI,Não VOC/VOI,31
674,2020-12,Dez 2020,Norte,Amazonas,B.1.1.33,Não VOC/VOI,Não VOC/VOI,8
675,2020-12,Dez 2020,Norte,Amazonas,B.1.1.378,Não VOC/VOI,Não VOC/VOI,18
676,2020-12,Dez 2020,Norte,Amazonas,N.9,Não VOC/VOI,Não VOC/VOI,5
677,2020-12,Dez 2020,Norte,Amazonas,P.1 (Gama),P.1 (Gama),VOC/VOI,118
678,2020-12,Dez 2020,Norte,Amazonas,P.2,P.2,VOC/VOI,41
679,2020-12,Dez 2020,Norte,Pará,B.1.1,Não VOC/VOI,Não VOC/VOI,3
680,2020-12,Dez 2020,Norte,Pará,B.1.1.28,Não VOC/VOI,Não VOC/VOI,1
681,2020-12,Dez 2020,Norte,Pará,B.1.1.33,Não VOC/VOI,Não VOC/VOI,1
682,2020-12,Dez 2020,Norte,Pará,N.9,Não VOC/VOI,Não VOC/VOI,2
683,2020-12,Dez 2020,Norte,Pará,P.2,P.2,VOC/VOI,11
684,2020-12,Dez 2020,Norte,Tocantins,P.2,P.2,VOC/VOI,1
