Data,Periodo,Região,Estado,Laboratório,Variante,Variantes relevantes,Classificação,Quantidade
2020-11-01,Nov 2020,Sudeste,Minas Gerais,FIOCRUZ,P.2,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,Outras,Não VOC/VOI,5
2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sudeste,Minas Gerais,Outros,P.2,Outras,Não VOC/VOI,10
2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,7
2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,12
2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,FIOCRUZ,P.2,Outras,Não VOC/VOI,21
2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,Outras,Não VOC/VOI,12
2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,Outras,Não VOC/VOI,10
2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.393,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sudeste,Rio de Janeiro,Outros,P.2,Outras,Não VOC/VOI,21
2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1,Outras,Não VOC/VOI,6
2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.28,Outras,Não VOC/VOI,39
2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.33,Outras,Não VOC/VOI,8
2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,B.1.1.332,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,N.9,Outras,Não VOC/VOI,15
2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,P.2,Outras,Não VOC/VOI,26
2020-11-01,Nov 2020,Sudeste,São Paulo,Outros,P.7,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.1,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,Outras,Não VOC/VOI,19
2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,6
2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,B.1.177.52,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,P.1.15 (Gama),P.1.* (Gama),VOC/VOI,2
2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,P.2,Outras,Não VOC/VOI,37
2020-11-01,Nov 2020,Sul,Paraná,FIOCRUZ,P.7,Outras,Não VOC/VOI,7
2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.1,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.1.277,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.1.28,Outras,Não VOC/VOI,17
2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.1.33,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.362,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Paraná,Outros,B.1.498,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Paraná,Outros,N.9,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Paraná,Outros,P.2,Outras,Não VOC/VOI,8
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,FIOCRUZ,P.2,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1,Outras,Não VOC/VOI,3
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1.12,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,Outras,Não VOC/VOI,51
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,Outras,Não VOC/VOI,17
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.1.70,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.324,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,B.1.91,Outras,Não VOC/VOI,6
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,P.1 (Gama),P.1 (Gama),VOC/VOI,1
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,P.2,Outras,Não VOC/VOI,72
2020-11-01,Nov 2020,Sul,Rio Grande do Sul,Outros,P.7,Outras,Não VOC/VOI,33
2020-11-01,Nov 2020,Sul,Santa Catarina,FIOCRUZ,B.1.1.33,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Santa Catarina,FIOCRUZ,P.2,Outras,Não VOC/VOI,2
2020-11-01,Nov 2020,Sul,Santa Catarina,FIOCRUZ,P.7,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Santa Catarina,Outros,B.1.1.28,Outras,Não VOC/VOI,1
2020-11-01,Nov 2020,Sul,Santa Catarina,Outros,P.2,Outras,Não VOC/VOI,5
