,Date,Período,Região,Linhagem,Linhagens relevantes,Frequência
138,2020-05,Mai 2020,Sul,B.1.1.33,B.1.1.33,64
139,2020-05,Mai 2020,Sul,B.1.195,Outras,1
140,2020-05,Mai 2020,Sul,B.1.91,Outras,4
141,2020-06,Jun 2020,Centro-oeste,B.1.1.28,B.1.1.28,4
142,2020-06,Jun 2020,Centro-oeste,B.1.1.33,B.1.1.33,12
143,2020-06,Jun 2020,Nordeste,B.1,Outras,2
144,2020-06,Jun 2020,Nordeste,B.1.1,B.1.1,33
145,2020-06,Jun 2020,Nordeste,B.1.1.192,Outras,1
146,2020-06,Jun 2020,Nordeste,B.1.1.236,Outras,9
147,2020-06,Jun 2020,Nordeste,B.1.1.28,B.1.1.28,11
148,2020-06,Jun 2020,Nordeste,B.1.1.33,B.1.1.33,14
149,2020-06,Jun 2020,Nordeste,B.1.212,Outras,1
150,2020-06,Jun 2020,Norte,B.1.1.28,B.1.1.28,14
151,2020-06,Jun 2020,Norte,B.1.1.33,B.1.1.33,10
152,2020-06,Jun 2020,Norte,B.1.195,Outras,4
153,2020-06,Jun 2020,Norte,B.1.212,Outras,1
154,2020-06,Jun 2020,Sudeste,B.1.1,B.1.1,2
155,2020-06,Jun 2020,Sudeste,B.1.1.28,B.1.1.28,50
156,2020-06,Jun 2020,Sudeste,B.1.1.33,B.1.1.33,57
157,2020-06,Jun 2020,Sul,B.1.1,B.1.1,1
158,2020-06,Jun 2020,Sul,B.1.1.1,Outras,2
159,2020-06,Jun 2020,Sul,B.1.1.161,Outras,5
160,2020-06,Jun 2020,Sul,B.1.1.277,Outras,2
161,2020-06,Jun 2020,Sul,B.1.1.28,B.1.1.28,45
162,2020-06,Jun 2020,Sul,B.1.1.33,B.1.1.33,122
163,2020-06,Jun 2020,Sul,B.1.195,Outras,2
164,2020-06,Jun 2020,Sul,B.1.212,Outras,1
165,2020-06,Jun 2020,Sul,B.1.91,Outras,11
166,2020-07,Jul 2020,Centro-oeste,B.1.1.28,B.1.1.28,5
167,2020-07,Jul 2020,Centro-oeste,B.1.1.33,B.1.1.33,7
168,2020-07,Jul 2020,Centro-oeste,N.4,Outras,3
169,2020-07,Jul 2020,Nordeste,B.1,Outras,1
170,2020-07,Jul 2020,Nordeste,B.1.1,B.1.1,36
171,2020-07,Jul 2020,Nordeste,B.1.1.236,Outras,3
172,2020-07,Jul 2020,Nordeste,B.1.1.28,B.1.1.28,18
173,2020-07,Jul 2020,Nordeste,B.1.1.33,B.1.1.33,15
174,2020-07,Jul 2020,Nordeste,B.1.1.74,Outras,1
175,2020-07,Jul 2020,Norte,B.1.1,B.1.1,1
176,2020-07,Jul 2020,Norte,B.1.1.28,B.1.1.28,9
177,2020-07,Jul 2020,Norte,B.1.1.33,B.1.1.33,8
178,2020-07,Jul 2020,Norte,B.1.195,Outras,4
179,2020-07,Jul 2020,Norte,B.1.395,Outras,1
180,2020-07,Jul 2020,Sudeste,B.1,Outras,1
181,2020-07,Jul 2020,Sudeste,B.1.1,B.1.1,10
182,2020-07,Jul 2020,Sudeste,B.1.1.28,B.1.1.28,57
183,2020-07,Jul 2020,Sudeste,B.1.1.33,B.1.1.33,84
184,2020-07,Jul 2020,Sudeste,B.1.1.332,Outras,1
185,2020-07,Jul 2020,Sudeste,N.1,Outras,1
186,2020-07,Jul 2020,Sudeste,P.7,Outras,2
187,2020-07,Jul 2020,Sul,B.1,Outras,1
188,2020-07,Jul 2020,Sul,B.1.1,B.1.1,7
189,2020-07,Jul 2020,Sul,B.1.1.161,Outras,3
190,2020-07,Jul 2020,Sul,B.1.1.28,B.1.1.28,42
191,2020-07,Jul 2020,Sul,B.1.1.33,B.1.1.33,70
192,2020-07,Jul 2020,Sul,B.1.1.332,Outras,1
193,2020-07,Jul 2020,Sul,B.1.195,Outras,1
194,2020-07,Jul 2020,Sul,B.1.91,Outras,10
195,2020-08,Ago 2020,Centro-oeste,B.1.1,B.1.1,1
196,2020-08,Ago 2020,Centro-oeste,B.1.1.28,B.1.1.28,4
197,2020-08,Ago 2020,Centro-oeste,B.1.1.33,B.1.1.33,17
198,2020-08,Ago 2020,Nordeste,B.1,Outras,1
199,2020-08,Ago 2020,Nordeste,B.1.1,B.1.1,34
200,2020-08,Ago 2020,Nordeste,B.1.1.16,Outras,1
201,2020-08,Ago 2020,Nordeste,B.1.1.171,Outras,1
202,2020-08,Ago 2020,Nordeste,B.1.1.221,Outras,2
203,2020-08,Ago 2020,Nordeste,B.1.1.236,Outras,2
204,2020-08,Ago 2020,Nordeste,B.1.1.277,Outras,1
205,2020-08,Ago 2020,Nordeste,B.1.1.28,B.1.1.28,26
206,2020-08,Ago 2020,Nordeste,B.1.1.33,B.1.1.33,14
207,2020-08,Ago 2020,Nordeste,B.1.1.402,Outras,1
208,2020-08,Ago 2020,Norte,B.1.1.28,B.1.1.28,4
209,2020-08,Ago 2020,Norte,B.1.1.33,B.1.1.33,14
210,2020-08,Ago 2020,Norte,B.1.195,Outras,2
211,2020-08,Ago 2020,Sudeste,B.1.1,B.1.1,6
212,2020-08,Ago 2020,Sudeste,B.1.1.28,B.1.1.28,45
213,2020-08,Ago 2020,Sudeste,B.1.1.33,B.1.1.33,43
214,2020-08,Ago 2020,Sudeste,N.1,Outras,1
215,2020-08,Ago 2020,Sudeste,N.4,Outras,1
216,2020-08,Ago 2020,Sudeste,P.7,Outras,1
217,2020-08,Ago 2020,Sul,B.1,Outras,3
218,2020-08,Ago 2020,Sul,B.1.1,B.1.1,8
219,2020-08,Ago 2020,Sul,B.1.1.161,Outras,8
220,2020-08,Ago 2020,Sul,B.1.1.236,Outras,1
221,2020-08,Ago 2020,Sul,B.1.1.28,B.1.1.28,50
222,2020-08,Ago 2020,Sul,B.1.1.33,B.1.1.33,69
223,2020-08,Ago 2020,Sul,B.1.1.332,Outras,1
224,2020-08,Ago 2020,Sul,B.1.1.333,Outras,1
225,2020-08,Ago 2020,Sul,B.1.1.462,Outras,1
226,2020-08,Ago 2020,Sul,B.1.91,Outras,3
227,2020-08,Ago 2020,Sul,P.7,Outras,1
228,2020-09,Set 2020,Centro-oeste,B.1.1,B.1.1,2
229,2020-09,Set 2020,Centro-oeste,B.1.1.28,B.1.1.28,5
230,2020-09,Set 2020,Centro-oeste,B.1.1.33,B.1.1.33,11
231,2020-09,Set 2020,Centro-oeste,P.2,P.2,2
232,2020-09,Set 2020,Nordeste,B.1,Outras,1
233,2020-09,Set 2020,Nordeste,B.1.1,B.1.1,44
234,2020-09,Set 2020,Nordeste,B.1.1.236,Outras,7
235,2020-09,Set 2020,Nordeste,B.1.1.277,Outras,2
236,2020-09,Set 2020,Nordeste,B.1.1.28,B.1.1.28,26
237,2020-09,Set 2020,Nordeste,B.1.1.33,B.1.1.33,27
