Data,Período,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
2020-04-01,Abr 2020,Norte,Pará,Outros,B.1.1.28,29
2020-04-01,Abr 2020,Norte,Pará,Outros,B.1.1.33,6
2020-04-01,Abr 2020,Norte,Pará,Outros,Outras,2
2020-04-01,Abr 2020,Norte,Roraima,Outros,B.1.1.33,1
2020-04-01,Abr 2020,Norte,Roraima,Outros,Outras,1
2020-04-01,Abr 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,2
2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,5
2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,20
2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,Outras,5
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1,1
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.28,8
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,91
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,Outras,4
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,1
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,9
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,196
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,Outras,10
2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,P.1.* (Gama),1
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1,20
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1.28,374
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1.33,125
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,Outras,36
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,P.1.* (Gama),1
2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,P.2,1
2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,B.1.1,1
