,Date,Período,Estado,Linhagem,Frequência
167,2020-05,Mai 2020,Paraná,Outras,1
168,2020-05,Mai 2020,Paraíba,B.1.1,3
169,2020-05,Mai 2020,Paraíba,B.1.1.33,2
170,2020-05,Mai 2020,Pará,B.1.1.28,6
171,2020-05,Mai 2020,Pará,B.1.1.33,2
172,2020-05,Mai 2020,Pará,Outras,1
173,2020-05,Mai 2020,Pernambuco,B.1,2
174,2020-05,Mai 2020,Pernambuco,B.1.1,31
175,2020-05,Mai 2020,Pernambuco,B.1.1.28,2
176,2020-05,Mai 2020,Pernambuco,B.1.1.33,4
177,2020-05,Mai 2020,Rio Grande do Sul,B.1,1
178,2020-05,Mai 2020,Rio Grande do Sul,B.1.1,6
179,2020-05,Mai 2020,Rio Grande do Sul,B.1.1.28,5
180,2020-05,Mai 2020,Rio Grande do Sul,B.1.1.33,50
181,2020-05,Mai 2020,Rio Grande do Sul,Outras,6
182,2020-05,Mai 2020,Rio de Janeiro,B.1,4
183,2020-05,Mai 2020,Rio de Janeiro,B.1.1,1
184,2020-05,Mai 2020,Rio de Janeiro,B.1.1.28,2
185,2020-05,Mai 2020,Rio de Janeiro,B.1.1.33,44
186,2020-05,Mai 2020,Rio de Janeiro,Outras,1
187,2020-05,Mai 2020,Rondônia,B.1.1.33,5
188,2020-05,Mai 2020,Rondônia,Outras,2
189,2020-05,Mai 2020,Roraima,B.1.1.33,1
190,2020-05,Mai 2020,Santa Catarina,B.1.1.33,2
191,2020-05,Mai 2020,Santa Catarina,Outras,1
192,2020-05,Mai 2020,São Paulo,B.1,1
193,2020-05,Mai 2020,São Paulo,B.1.1,2
194,2020-05,Mai 2020,São Paulo,B.1.1.28,74
195,2020-05,Mai 2020,São Paulo,B.1.1.33,14
196,2020-05,Mai 2020,São Paulo,Outras,2
197,2020-06,Jun 2020,Acre,B.1.1.33,2
198,2020-06,Jun 2020,Amazonas,B.1.1.28,10
199,2020-06,Jun 2020,Amazonas,B.1.1.33,1
200,2020-06,Jun 2020,Amazonas,Outras,5
201,2020-06,Jun 2020,Bahia,B.1,1
202,2020-06,Jun 2020,Bahia,B.1.1.28,6
203,2020-06,Jun 2020,Bahia,B.1.1.33,6
204,2020-06,Jun 2020,Ceará,B.1.1.33,2
205,2020-06,Jun 2020,Goiás,B.1.1.28,1
206,2020-06,Jun 2020,Goiás,B.1.1.33,11
207,2020-06,Jun 2020,Mato Grosso,B.1.1.28,1
208,2020-06,Jun 2020,Mato Grosso do Sul,B.1.1.28,1
209,2020-06,Jun 2020,Mato Grosso do Sul,B.1.1.33,1
210,2020-06,Jun 2020,Paraná,B.1.1,1
211,2020-06,Jun 2020,Paraná,B.1.1.28,19
212,2020-06,Jun 2020,Paraná,B.1.1.33,74
213,2020-06,Jun 2020,Paraná,Outras,1
214,2020-06,Jun 2020,Paraíba,B.1.1,5
215,2020-06,Jun 2020,Paraíba,B.1.1.33,1
216,2020-06,Jun 2020,Pará,B.1.1.28,3
217,2020-06,Jun 2020,Pará,B.1.1.33,4
218,2020-06,Jun 2020,Pernambuco,B.1,1
219,2020-06,Jun 2020,Pernambuco,B.1.1,36
220,2020-06,Jun 2020,Pernambuco,B.1.1.28,6
221,2020-06,Jun 2020,Pernambuco,B.1.1.33,5
222,2020-06,Jun 2020,Pernambuco,Outras,2
223,2020-06,Jun 2020,Rio Grande do Sul,B.1.1.28,20
224,2020-06,Jun 2020,Rio Grande do Sul,B.1.1.33,47
225,2020-06,Jun 2020,Rio Grande do Sul,Outras,13
226,2020-06,Jun 2020,Rio de Janeiro,B.1.1,2
227,2020-06,Jun 2020,Rio de Janeiro,B.1.1.28,3
228,2020-06,Jun 2020,Rio de Janeiro,B.1.1.33,32
229,2020-06,Jun 2020,Rondônia,B.1.1.33,1
230,2020-06,Jun 2020,Roraima,B.1.1.33,2
231,2020-06,Jun 2020,Santa Catarina,B.1.1.28,1
232,2020-06,Jun 2020,Santa Catarina,B.1.1.33,1
233,2020-06,Jun 2020,São Paulo,B.1.1,1
234,2020-06,Jun 2020,São Paulo,B.1.1.28,47
235,2020-06,Jun 2020,São Paulo,B.1.1.33,20
236,2020-06,Jun 2020,São Paulo,Outras,5
237,2020-07,Jul 2020,Amazonas,B.1.1,1
238,2020-07,Jul 2020,Amazonas,B.1.1.28,6
239,2020-07,Jul 2020,Amazonas,B.1.1.33,5
240,2020-07,Jul 2020,Amazonas,Outras,4
241,2020-07,Jul 2020,Bahia,B.1.1,2
242,2020-07,Jul 2020,Bahia,B.1.1.28,4
243,2020-07,Jul 2020,Bahia,B.1.1.33,4
244,2020-07,Jul 2020,Goiás,B.1.1.28,1
245,2020-07,Jul 2020,Goiás,B.1.1.33,4
246,2020-07,Jul 2020,Mato Grosso do Sul,B.1.1.28,4
247,2020-07,Jul 2020,Mato Grosso do Sul,B.1.1.33,3
248,2020-07,Jul 2020,Mato Grosso do Sul,Outras,3
249,2020-07,Jul 2020,Minas Gerais,B.1.1.33,1
250,2020-07,Jul 2020,Paraná,B.1.1,2
251,2020-07,Jul 2020,Paraná,B.1.1.28,18
252,2020-07,Jul 2020,Paraná,B.1.1.33,25
