,date,state,place_type,confirmed
1,2021-07-26,AP,state,120803
491,2021-07-26,AP,city,1377
937,2021-07-26,AP,city,1678
1378,2021-07-26,AP,city,872
1815,2021-07-26,AP,city,1533
2255,2021-07-26,AP,city,530
2703,2021-07-26,AP,city,8377
3160,2021-07-26,AP,city,59416
3643,2021-07-26,AP,city,3068
4101,2021-07-26,AP,city,5291
4569,2021-07-26,AP,city,3490
5018,2021-07-26,AP,city,2041
5476,2021-07-26,AP,city,393
5913,2021-07-26,AP,city,25558
6380,2021-07-26,AP,city,1286
6830,2021-07-26,AP,city,1966
7276,2021-07-26,AP,city,3927
7735,2021-07-26,AC,state,86987
18142,2021-07-26,AM,state,414344
18638,2021-07-26,AM,city,2901
19086,2021-07-26,AM,city,2369
19544,2021-07-26,AM,city,1864
20012,2021-07-26,AM,city,1901
20496,2021-07-26,AM,city,1447
20940,2021-07-26,AM,city,2809
21392,2021-07-26,AM,city,2886
21854,2021-07-26,AM,city,4425
22314,2021-07-26,AM,city,2436
22764,2021-07-26,AM,city,2707
23224,2021-07-26,AM,city,2281
23685,2021-07-26,AM,city,973
24134,2021-07-26,AM,city,2668
24621,2021-07-26,AM,city,2368
25076,2021-07-26,AM,city,682
25534,2021-07-26,AM,city,1356
25997,2021-07-26,AM,city,6720
26463,2021-07-26,AM,city,4426
26934,2021-07-26,AM,city,1015
27416,2021-07-26,AM,city,9484
27881,2021-07-26,AM,city,2575
28339,2021-07-26,AM,city,4205
28790,2021-07-26,AM,city,2691
29214,2021-07-26,AM,city,1599
29672,2021-07-26,AM,city,1690
30110,2021-07-26,AM,city,8050
30566,2021-07-26,AM,city,5465
30990,2021-07-26,AM,city,8884
31467,2021-07-26,AM,city,9717
31951,2021-07-26,AM,city,965
32390,2021-07-26,AM,city,3088
32846,2021-07-26,AM,city,1026
33287,2021-07-26,AM,city,985
33750,2021-07-26,AM,city,2759
34226,2021-07-26,AM,city,6995
34694,2021-07-26,AM,city,9561
35180,2021-07-26,AM,city,1771
35639,2021-07-26,AM,city,195505
36135,2021-07-26,AM,city,4694
36609,2021-07-26,AM,city,2416
37069,2021-07-26,AM,city,4907
37541,2021-07-26,AM,city,1875
38000,2021-07-26,AM,city,2631
38460,2021-07-26,AM,city,2383
38943,2021-07-26,AM,city,2033
39401,2021-07-26,AM,city,10014
39892,2021-07-26,AM,city,2766
40334,2021-07-26,AM,city,6191
40808,2021-07-26,AM,city,4777
41268,2021-07-26,AM,city,2745
41732,2021-07-26,AM,city,1858
42219,2021-07-26,AM,city,1381
42677,2021-07-26,AM,city,8103
43150,2021-07-26,AM,city,5262
43625,2021-07-26,AM,city,1576
44082,2021-07-26,AM,city,3315
44556,2021-07-26,AM,city,1924
45014,2021-07-26,AM,city,9751
45486,2021-07-26,AM,city,1353
45966,2021-07-26,AM,city,1966
46403,2021-07-26,AM,city,2488
46860,2021-07-26,AM,city,2686
47317,2021-07-26,DF,state,446772
47823,2021-07-26,DF,city,392981
48328,2021-07-26,DF,city,53791
48816,2021-07-26,AL,state,228442
92362,2021-07-26,CE,state,914992
173862,2021-07-26,ES,state,540031
174370,2021-07-26,ES,city,3469
174831,2021-07-26,ES,city,2729
175272,2021-07-26,ES,city,2473
175722,2021-07-26,ES,city,729
176184,2021-07-26,ES,city,4867
176630,2021-07-26,ES,city,863
177073,2021-07-26,ES,city,16618
177534,2021-07-26,ES,city,1532
177968,2021-07-26,ES,city,3713
178402,2021-07-26,ES,city,4918
178836,2021-07-26,ES,city,1659
179291,2021-07-26,ES,city,1120
179738,2021-07-26,ES,city,1686
180184,2021-07-26,ES,city,27174
180657,2021-07-26,ES,city,41505
181130,2021-07-26,ES,city,6073
181597,2021-07-26,ES,city,19691
182056,2021-07-26,ES,city,1860
182490,2021-07-26,ES,city,1437
182924,2021-07-26,ES,city,446
183358,2021-07-26,ES,city,4157
183799,2021-07-26,ES,city,748
184233,2021-07-26,ES,city,3572
184667,2021-07-26,ES,city,2693
185127,2021-07-26,ES,city,2170
185561,2021-07-26,ES,city,16597
186026,2021-07-26,ES,city,2786
186467,2021-07-26,ES,city,3788
186901,2021-07-26,ES,city,1803
187357,2021-07-26,ES,city,481
187791,2021-07-26,ES,city,2718
188227,2021-07-26,ES,city,4353
188696,2021-07-26,ES,city,1665
189137,2021-07-26,ES,city,1690
189571,2021-07-26,ES,city,4439
190036,2021-07-26,ES,city,1500
190470,2021-07-26,ES,city,2958
190904,2021-07-26,ES,city,3820
191338,2021-07-26,ES,city,1301
191786,2021-07-26,ES,city,2774
192232,2021-07-26,ES,city,903
192666,2021-07-26,ES,city,26859
193140,2021-07-26,ES,city,954
193574,2021-07-26,ES,city,6987
194010,2021-07-26,ES,city,3447
194448,2021-07-26,ES,city,2086
194882,2021-07-26,ES,city,3120
195316,2021-07-26,ES,city,1723
195750,2021-07-26,ES,city,628
196184,2021-07-26,ES,city,2935
196618,2021-07-26,ES,city,1977
197052,2021-07-26,ES,city,6172
197507,2021-07-26,ES,city,2493
197941,2021-07-26,ES,city,2282
198387,2021-07-26,ES,city,3500
198821,2021-07-26,ES,city,2692
199264,2021-07-26,ES,city,662
199698,2021-07-26,ES,city,2167
200144,2021-07-26,ES,city,2656
200578,2021-07-26,ES,city,1622
201024,2021-07-26,ES,city,1141
201474,2021-07-26,ES,city,5659
201922,2021-07-26,ES,city,4364
202392,2021-07-26,ES,city,68390
202862,2021-07-26,ES,city,3366
203322,2021-07-26,ES,city,1430
203756,2021-07-26,ES,city,6819
204208,2021-07-26,ES,city,1047
204659,2021-07-26,ES,city,13004
205123,2021-07-26,ES,city,1764
205589,2021-07-26,ES,city,2451
206023,2021-07-26,ES,city,4579
206477,2021-07-26,ES,city,8503
206939,2021-07-26,ES,city,1044
207373,2021-07-26,ES,city,3171
207820,2021-07-26,ES,city,66928
208294,2021-07-26,ES,city,57145
208768,2021-07-26,ES,city,860
209202,2021-07-26,ES,city,1926
209636,2021-07-26,MS,state,353161
243801,2021-07-26,GO,state,728153
244303,2021-07-26,GO,city,1598
244730,2021-07-26,GO,city,457
245149,2021-07-26,GO,city,2368
245565,2021-07-26,GO,city,220
245977,2021-07-26,GO,city,3233
246416,2021-07-26,GO,city,286
246880,2021-07-26,GO,city,926
247268,2021-07-26,GO,city,672
247706,2021-07-26,GO,city,774
248106,2021-07-26,GO,city,110
248532,2021-07-26,GO,city,794
248931,2021-07-26,GO,city,299
249357,2021-07-26,GO,city,91
249823,2021-07-26,GO,city,3109
250262,2021-07-26,GO,city,42317
250751,2021-07-26,GO,city,72229
251238,2021-07-26,GO,city,242
251670,2021-07-26,GO,city,369
252104,2021-07-26,GO,city,2907
252541,2021-07-26,GO,city,1078
253001,2021-07-26,GO,city,664
253427,2021-07-26,GO,city,451
253855,2021-07-26,GO,city,255
254228,2021-07-26,GO,city,561
254623,2021-07-26,GO,city,221
255049,2021-07-26,GO,city,317
255498,2021-07-26,GO,city,392
255877,2021-07-26,GO,city,1397
256329,2021-07-26,GO,city,2809
256796,2021-07-26,GO,city,993
257231,2021-07-26,GO,city,2900
257703,2021-07-26,GO,city,474
258129,2021-07-26,GO,city,207
258494,2021-07-26,GO,city,518
258918,2021-07-26,GO,city,655
259357,2021-07-26,GO,city,1010
259759,2021-07-26,GO,city,247
260154,2021-07-26,GO,city,199
260555,2021-07-26,GO,city,362
260977,2021-07-26,GO,city,1607
261394,2021-07-26,GO,city,637
261817,2021-07-26,GO,city,87
262197,2021-07-26,GO,city,1379
262616,2021-07-26,GO,city,9883
263090,2021-07-26,GO,city,341
263524,2021-07-26,GO,city,531
263998,2021-07-26,GO,city,211
264354,2021-07-26,GO,city,1478
264805,2021-07-26,GO,city,292
265242,2021-07-26,GO,city,227
265655,2021-07-26,GO,city,1935
266095,2021-07-26,GO,city,339
266482,2021-07-26,GO,city,678
266940,2021-07-26,GO,city,365
267355,2021-07-26,GO,city,10804
267839,2021-07-26,GO,city,515
268278,2021-07-26,GO,city,369
268694,2021-07-26,GO,city,1433
269129,2021-07-26,GO,city,2834
269587,2021-07-26,GO,city,992
270001,2021-07-26,GO,city,2006
270435,2021-07-26,GO,city,5718
270909,2021-07-26,GO,city,1820
271331,2021-07-26,GO,city,320
271768,2021-07-26,GO,city,991
272206,2021-07-26,GO,city,724
272645,2021-07-26,GO,city,3081
273084,2021-07-26,GO,city,286
273472,2021-07-26,GO,city,2216
273884,2021-07-26,GO,city,239
274304,2021-07-26,GO,city,302
274719,2021-07-26,GO,city,289
275158,2021-07-26,GO,city,110
275513,2021-07-26,GO,city,221
275926,2021-07-26,GO,city,102
276287,2021-07-26,GO,city,196
276666,2021-07-26,GO,city,252
277061,2021-07-26,GO,city,504
277496,2021-07-26,GO,city,562
277897,2021-07-26,GO,city,1752
278336,2021-07-26,GO,city,252
278745,2021-07-26,GO,city,606
279206,2021-07-26,GO,city,494
279594,2021-07-26,GO,city,723
280013,2021-07-26,GO,city,193
280428,2021-07-26,GO,city,9878
280890,2021-07-26,GO,city,513
281264,2021-07-26,GO,city,456
281683,2021-07-26,GO,city,362
282150,2021-07-26,GO,city,3774
282611,2021-07-26,GO,city,1255
283036,2021-07-26,GO,city,10182
283514,2021-07-26,GO,city,5382
283981,2021-07-26,GO,city,1736
284394,2021-07-26,GO,city,171622
284887,2021-07-26,GO,city,623
285310,2021-07-26,GO,city,1691
285777,2021-07-26,GO,city,271
286177,2021-07-26,GO,city,289
286586,2021-07-26,GO,city,182
286967,2021-07-26,GO,city,243
287351,2021-07-26,GO,city,239
287763,2021-07-26,GO,city,2738
288242,2021-07-26,GO,city,806
288643,2021-07-26,GO,city,0
289129,2021-07-26,GO,city,945
289537,2021-07-26,GO,city,1122
289967,2021-07-26,GO,city,7734
290423,2021-07-26,GO,city,2367
290871,2021-07-26,GO,city,157
291285,2021-07-26,GO,city,4221
291724,2021-07-26,GO,city,154
292137,2021-07-26,GO,city,3898
292564,2021-07-26,GO,city,776
292955,2021-07-26,GO,city,451
293418,2021-07-26,GO,city,240
293847,2021-07-26,GO,city,2182
294269,2021-07-26,GO,city,768
294676,2021-07-26,GO,city,3684
295111,2021-07-26,GO,city,564
295503,2021-07-26,GO,city,1276
295922,2021-07-26,GO,city,11464
296398,2021-07-26,GO,city,236
296833,2021-07-26,GO,city,808
297246,2021-07-26,GO,city,6328
297696,2021-07-26,GO,city,12278
298183,2021-07-26,GO,city,73
298584,2021-07-26,GO,city,156
299031,2021-07-26,GO,city,1140
299465,2021-07-26,GO,city,1837
299906,2021-07-26,GO,city,108
300251,2021-07-26,GO,city,546
300680,2021-07-26,GO,city,26694
301161,2021-07-26,GO,city,213
301541,2021-07-26,GO,city,275
301924,2021-07-26,GO,city,318
302362,2021-07-26,GO,city,247
302721,2021-07-26,GO,city,352
303116,2021-07-26,GO,city,1073
303543,2021-07-26,GO,city,142
303952,2021-07-26,GO,city,2739
304391,2021-07-26,GO,city,10837
304842,2021-07-26,GO,city,56
305216,2021-07-26,GO,city,235
305635,2021-07-26,GO,city,1181
306048,2021-07-26,GO,city,1259
306515,2021-07-26,GO,city,282
306915,2021-07-26,GO,city,7074
307376,2021-07-26,GO,city,247
307767,2021-07-26,GO,city,260
308175,2021-07-26,GO,city,2025
308596,2021-07-26,GO,city,458
308996,2021-07-26,GO,city,336
309416,2021-07-26,GO,city,891
309818,2021-07-26,GO,city,1598
310281,2021-07-26,GO,city,4356
310730,2021-07-26,GO,city,320
311157,2021-07-26,GO,city,188
311561,2021-07-26,GO,city,1676
311962,2021-07-26,GO,city,930
312430,2021-07-26,GO,city,261
312830,2021-07-26,GO,city,198
313176,2021-07-26,GO,city,1186
313648,2021-07-26,GO,city,344
314055,2021-07-26,GO,city,4881
314507,2021-07-26,GO,city,301
314932,2021-07-26,GO,city,589
315334,2021-07-26,GO,city,380
315736,2021-07-26,GO,city,747
316134,2021-07-26,GO,city,1851
316571,2021-07-26,GO,city,247
316943,2021-07-26,GO,city,5684
317380,2021-07-26,GO,city,234
317768,2021-07-26,GO,city,501
318206,2021-07-26,GO,city,251
318605,2021-07-26,GO,city,471
319080,2021-07-26,GO,city,768
319542,2021-07-26,GO,city,183
319941,2021-07-26,GO,city,1393
320339,2021-07-26,GO,city,313
320698,2021-07-26,GO,city,2710
321137,2021-07-26,GO,city,1452
321563,2021-07-26,GO,city,2145
322026,2021-07-26,GO,city,3394
322493,2021-07-26,GO,city,4047
322948,2021-07-26,GO,city,1724
323346,2021-07-26,GO,city,2675
323783,2021-07-26,GO,city,1804
324181,2021-07-26,GO,city,566
324610,2021-07-26,GO,city,2052
325029,2021-07-26,GO,city,261
325494,2021-07-26,GO,city,4496
325929,2021-07-26,GO,city,1621
326393,2021-07-26,GO,city,700
326821,2021-07-26,GO,city,473
327207,2021-07-26,GO,city,27569
327700,2021-07-26,GO,city,2675
328119,2021-07-26,GO,city,663
328514,2021-07-26,GO,city,813
328908,2021-07-26,GO,city,157
329302,2021-07-26,GO,city,785
329747,2021-07-26,GO,city,4456
330197,2021-07-26,GO,city,457
330605,2021-07-26,GO,city,479
331035,2021-07-26,GO,city,177
331450,2021-07-26,GO,city,363
331866,2021-07-26,GO,city,233
332266,2021-07-26,GO,city,883
332685,2021-07-26,GO,city,455
333094,2021-07-26,GO,city,1070
333531,2021-07-26,GO,city,3045
333991,2021-07-26,GO,city,18622
334463,2021-07-26,GO,city,1273
334886,2021-07-26,GO,city,1828
335367,2021-07-26,GO,city,357
335747,2021-07-26,GO,city,167
336069,2021-07-26,GO,city,457
336471,2021-07-26,GO,city,693
336894,2021-07-26,GO,city,81
337307,2021-07-26,GO,city,544
337709,2021-07-26,GO,city,4466
338181,2021-07-26,GO,city,2605
338600,2021-07-26,GO,city,328
338992,2021-07-26,GO,city,315
339363,2021-07-26,GO,city,1482
339797,2021-07-26,GO,city,31
340107,2021-07-26,GO,city,248
340482,2021-07-26,GO,city,204
340869,2021-07-26,GO,city,1070
341294,2021-07-26,GO,city,11034
341768,2021-07-26,GO,city,431
342122,2021-07-26,GO,city,226
342519,2021-07-26,GO,city,887
342920,2021-07-26,GO,city,627
343339,2021-07-26,GO,city,214
343720,2021-07-26,GO,city,1280
344146,2021-07-26,GO,city,5111
344609,2021-07-26,GO,city,181
345057,2021-07-26,GO,city,12551
345539,2021-07-26,GO,city,508
345936,2021-07-26,GO,city,777
346404,2021-07-26,GO,city,1294
346811,2021-07-26,GO,city,189
347211,2021-07-26,GO,city,347
347598,2021-07-26,GO,city,312
348011,2021-07-26,GO,city,161
348377,2021-07-26,GO,city,8445
348856,2021-07-26,PA,state,570021
414120,2021-07-26,MT,state,483834
414611,2021-07-26,MT,city,525
414949,2021-07-26,MT,city,9315
415323,2021-07-26,MT,city,1513
415655,2021-07-26,MT,city,810
415984,2021-07-26,MT,city,981
416315,2021-07-26,MT,city,899
416649,2021-07-26,MT,city,1539
416946,2021-07-26,MT,city,1820
417246,2021-07-26,MT,city,391
417537,2021-07-26,MT,city,29
417820,2021-07-26,MT,city,2032
418137,2021-07-26,MT,city,1855
418456,2021-07-26,MT,city,2998
418828,2021-07-26,MT,city,3392
419146,2021-07-26,MT,city,9718
419506,2021-07-26,MT,city,386
419807,2021-07-26,MT,city,1059
420135,2021-07-26,MT,city,2066
420442,2021-07-26,MT,city,1505
420751,2021-07-26,MT,city,7357
421125,2021-07-26,MT,city,6253
421459,2021-07-26,MT,city,1101
421788,2021-07-26,MT,city,466
422102,2021-07-26,MT,city,3441
422474,2021-07-26,MT,city,2050
422749,2021-07-26,MT,city,680
423047,2021-07-26,MT,city,1780
423418,2021-07-26,MT,city,1609
423725,2021-07-26,MT,city,741
424018,2021-07-26,MT,city,2496
424336,2021-07-26,MT,city,5603
424663,2021-07-26,MT,city,1900
424982,2021-07-26,MT,city,3775
425337,2021-07-26,MT,city,445
425700,2021-07-26,MT,city,1070
426040,2021-07-26,MT,city,98420
426425,2021-07-26,MT,city,495
426772,2021-07-26,MT,city,10544
427144,2021-07-26,MT,city,629
427465,2021-07-26,MT,city,2740
427777,2021-07-26,MT,city,611
428104,2021-07-26,MT,city,1906
428413,2021-07-26,MT,city,325
428718,2021-07-26,MT,city,1117
429025,2021-07-26,MT,city,788
429329,2021-07-26,MT,city,335
429603,2021-07-26,MT,city,4216
429934,2021-07-26,MT,city,279
430255,2021-07-26,MT,city,2924
430627,2021-07-26,MT,city,236
430925,2021-07-26,MT,city,1243
431285,2021-07-26,MT,city,850
431604,2021-07-26,MT,city,823
431912,2021-07-26,MT,city,689
432225,2021-07-26,MT,city,3256
432581,2021-07-26,MT,city,556
432931,2021-07-26,MT,city,721
433260,2021-07-26,MT,city,4756
433585,2021-07-26,MT,city,1366
433886,2021-07-26,MT,city,1342
434220,2021-07-26,MT,city,4029
434546,2021-07-26,MT,city,690
434916,2021-07-26,MT,city,14482
435292,2021-07-26,MT,city,177
435618,2021-07-26,MT,city,1670
435943,2021-07-26,MT,city,2292
436270,2021-07-26,MT,city,3780
436630,2021-07-26,MT,city,1837
436965,2021-07-26,MT,city,855
437265,2021-07-26,MT,city,1041
437601,2021-07-26,MT,city,931
437898,2021-07-26,MT,city,358
438200,2021-07-26,MT,city,1510
438499,2021-07-26,MT,city,804
438820,2021-07-26,MT,city,978
439161,2021-07-26,MT,city,401
439471,2021-07-26,MT,city,689
439789,2021-07-26,MT,city,1493
440172,2021-07-26,MT,city,8405
440546,2021-07-26,MT,city,344
440841,2021-07-26,MT,city,1627
441174,2021-07-26,MT,city,541
441496,2021-07-26,MT,city,814
441829,2021-07-26,MT,city,3228
442162,2021-07-26,MT,city,452
442454,2021-07-26,MT,city,888
442782,2021-07-26,MT,city,338
443101,2021-07-26,MT,city,630
443392,2021-07-26,MT,city,3371
443707,2021-07-26,MT,city,2619
444027,2021-07-26,MT,city,1845
444354,2021-07-26,MT,city,4088
444702,2021-07-26,MT,city,305
444983,2021-07-26,MT,city,3246
445334,2021-07-26,MT,city,1034
445689,2021-07-26,MT,city,147
446029,2021-07-26,MT,city,5508
446393,2021-07-26,MT,city,858
446723,2021-07-26,MT,city,1297
447043,2021-07-26,MT,city,430
447341,2021-07-26,MT,city,651
447646,2021-07-26,MT,city,1751
447993,2021-07-26,MT,city,12708
448364,2021-07-26,MT,city,3413
448718,2021-07-26,MT,city,248
449009,2021-07-26,MT,city,1354
449337,2021-07-26,MT,city,215
449629,2021-07-26,MT,city,761
449985,2021-07-26,MT,city,309
450318,2021-07-26,MT,city,34356
450697,2021-07-26,MT,city,1319
451040,2021-07-26,MT,city,263
451331,2021-07-26,MT,city,792
451643,2021-07-26,MT,city,399
451957,2021-07-26,MT,city,193
452290,2021-07-26,MT,city,487
452588,2021-07-26,MT,city,312
452907,2021-07-26,MT,city,281
453222,2021-07-26,MT,city,1094
453561,2021-07-26,MT,city,4566
453890,2021-07-26,MT,city,239
454195,2021-07-26,MT,city,23340
454571,2021-07-26,MT,city,16948
454914,2021-07-26,MT,city,1828
455249,2021-07-26,MT,city,177
455577,2021-07-26,MT,city,1777
455890,2021-07-26,MT,city,590
456218,2021-07-26,MT,city,2640
456590,2021-07-26,MT,city,681
456933,2021-07-26,MT,city,1550
457242,2021-07-26,MT,city,16604
457619,2021-07-26,MT,city,2491
457956,2021-07-26,MT,city,1235
458282,2021-07-26,MT,city,277
458569,2021-07-26,MT,city,586
458849,2021-07-26,MT,city,650
459221,2021-07-26,MT,city,281
459561,2021-07-26,MT,city,1324
459884,2021-07-26,MT,city,2575
460242,2021-07-26,MT,city,2151
460575,2021-07-26,MT,city,32384
460959,2021-07-26,MT,city,3235
461299,2021-07-26,MG,state,1937490
754019,2021-07-26,RJ,state,1014915
754518,2021-07-26,RJ,city,14397
754996,2021-07-26,RJ,city,636
755450,2021-07-26,RJ,city,6418
755924,2021-07-26,RJ,city,1450
756386,2021-07-26,RJ,city,4646
756849,2021-07-26,RJ,city,749
757325,2021-07-26,RJ,city,15805
757820,2021-07-26,RJ,city,6406
758294,2021-07-26,RJ,city,21072
758776,2021-07-26,RJ,city,1788
759246,2021-07-26,RJ,city,3632
759713,2021-07-26,RJ,city,13917
760183,2021-07-26,RJ,city,3198
760650,2021-07-26,RJ,city,1021
761083,2021-07-26,RJ,city,28759
761567,2021-07-26,RJ,city,3139
762035,2021-07-26,RJ,city,1600
762497,2021-07-26,RJ,city,1246
762936,2021-07-26,RJ,city,2279
763381,2021-07-26,RJ,city,4306
763851,2021-07-26,RJ,city,797
764280,2021-07-26,RJ,city,2045
764735,2021-07-26,RJ,city,2755
765186,2021-07-26,RJ,city,213
765606,2021-07-26,RJ,city,23006
766090,2021-07-26,RJ,city,1482
766532,2021-07-26,RJ,city,4850
767021,2021-07-26,RJ,city,4565
767495,2021-07-26,RJ,city,0
767982,2021-07-26,RJ,city,12435
768463,2021-07-26,RJ,city,5216
768938,2021-07-26,RJ,city,559
769388,2021-07-26,RJ,city,2427
769834,2021-07-26,RJ,city,7387
770306,2021-07-26,RJ,city,2001
770773,2021-07-26,RJ,city,1080
771243,2021-07-26,RJ,city,578
771679,2021-07-26,RJ,city,27289
772156,2021-07-26,RJ,city,1009
772610,2021-07-26,RJ,city,12494
773085,2021-07-26,RJ,city,2960
773565,2021-07-26,RJ,city,9605
774044,2021-07-26,RJ,city,1948
774506,2021-07-26,RJ,city,3636
774981,2021-07-26,RJ,city,2646
775469,2021-07-26,RJ,city,2805
775916,2021-07-26,RJ,city,1098
776355,2021-07-26,RJ,city,3750
776829,2021-07-26,RJ,city,41819
777321,2021-07-26,RJ,city,21737
777794,2021-07-26,RJ,city,20024
778274,2021-07-26,RJ,city,2463
778741,2021-07-26,RJ,city,2714
779209,2021-07-26,RJ,city,4847
779682,2021-07-26,RJ,city,2713
780150,2021-07-26,RJ,city,14722
780637,2021-07-26,RJ,city,2962
781096,2021-07-26,RJ,city,4195
781561,2021-07-26,RJ,city,2175
782035,2021-07-26,RJ,city,1915
782505,2021-07-26,RJ,city,925
782975,2021-07-26,RJ,city,6054
783453,2021-07-26,RJ,city,2980
783915,2021-07-26,RJ,city,14841
784398,2021-07-26,RJ,city,6163
784876,2021-07-26,RJ,city,1530
785307,2021-07-26,RJ,city,403
785776,2021-07-26,RJ,city,13175
786255,2021-07-26,RJ,city,390868
786749,2021-07-26,RJ,city,245
787200,2021-07-26,RJ,city,5535
787657,2021-07-26,RJ,city,2940
788127,2021-07-26,RJ,city,3155
788592,2021-07-26,RJ,city,2774
789071,2021-07-26,RJ,city,1598
789533,2021-07-26,RJ,city,1094
790001,2021-07-26,RJ,city,565
790466,2021-07-26,RJ,city,1704
790933,2021-07-26,RJ,city,53399
791418,2021-07-26,RJ,city,392
791869,2021-07-26,RJ,city,2161
792319,2021-07-26,RJ,city,4400
792791,2021-07-26,RJ,city,10694
793269,2021-07-26,RJ,city,4896
793746,2021-07-26,RJ,city,527
794199,2021-07-26,RJ,city,3685
794671,2021-07-26,RJ,city,24936
795149,2021-07-26,RJ,city,727
795621,2021-07-26,RJ,city,9970
796095,2021-07-26,RJ,city,4352
796578,2021-07-26,RJ,city,2393
797007,2021-07-26,RJ,city,2417
797461,2021-07-26,RJ,city,34031
797945,2021-07-26,RR,state,118968
798436,2021-07-26,RR,city,1512
798907,2021-07-26,RR,city,1125
799351,2021-07-26,RR,city,91854
799839,2021-07-26,RR,city,2374
800324,2021-07-26,RR,city,2356
800800,2021-07-26,RR,city,2608
801249,2021-07-26,RR,city,1947
801706,2021-07-26,RR,city,2641
802155,2021-07-26,RR,city,1198
802599,2021-07-26,RR,city,2203
803061,2021-07-26,RR,city,499
803505,2021-07-26,RR,city,2282
803972,2021-07-26,RR,city,3122
804434,2021-07-26,RR,city,1478
804879,2021-07-26,RR,city,606
805340,2021-07-26,RR,city,1163
805785,2021-07-26,RO,state,256357
828239,2021-07-26,RN,state,358044
884040,2021-07-26,MA,state,333606
980918,2021-07-26,SE,state,273330
1014629,2021-07-26,BA,state,1186213
1196555,2021-07-26,TO,state,208398
1254274,2021-07-26,SC,state,1104454
1254776,2021-07-26,SC,city,429
1255192,2021-07-26,SC,city,1625
1255626,2021-07-26,SC,city,1648
1256045,2021-07-26,SC,city,659
1256472,2021-07-26,SC,city,1065
1256891,2021-07-26,SC,city,199
1257334,2021-07-26,SC,city,672
1257765,2021-07-26,SC,city,531
1258152,2021-07-26,SC,city,1198
1258620,2021-07-26,SC,city,340
1259009,2021-07-26,SC,city,1632
1259488,2021-07-26,SC,city,841
1259892,2021-07-26,SC,city,419
1260351,2021-07-26,SC,city,3723
1260798,2021-07-26,SC,city,10809
1261270,2021-07-26,SC,city,1420
1261729,2021-07-26,SC,city,607
1262139,2021-07-26,SC,city,317
1262580,2021-07-26,SC,city,1201
1262997,2021-07-26,SC,city,475
1263425,2021-07-26,SC,city,866
1263891,2021-07-26,SC,city,2108
1264372,2021-07-26,SC,city,1442
1264823,2021-07-26,SC,city,25076
1265311,2021-07-26,SC,city,1331
1265782,2021-07-26,SC,city,5082
1266248,2021-07-26,SC,city,1449
1266688,2021-07-26,SC,city,411
1267060,2021-07-26,SC,city,189
1267402,2021-07-26,SC,city,4483
1267868,2021-07-26,SC,city,81
1268274,2021-07-26,SC,city,323
1268654,2021-07-26,SC,city,1055
1269097,2021-07-26,SC,city,11167
1269570,2021-07-26,SC,city,54624
1270054,2021-07-26,SC,city,390
1270463,2021-07-26,SC,city,666
1270874,2021-07-26,SC,city,455
1271279,2021-07-26,SC,city,183
1271643,2021-07-26,SC,city,876
1272038,2021-07-26,SC,city,3502
1272478,2021-07-26,SC,city,922
1272947,2021-07-26,SC,city,8547
1273438,2021-07-26,SC,city,719
1273843,2021-07-26,SC,city,287
1274250,2021-07-26,SC,city,28267
1274728,2021-07-26,SC,city,654
1275146,2021-07-26,SC,city,47
1275533,2021-07-26,SC,city,12863
1276014,2021-07-26,SC,city,1312
1276454,2021-07-26,SC,city,758
1276829,2021-07-26,SC,city,1308
1277269,2021-07-26,SC,city,5860
1277696,2021-07-26,SC,city,1392
1278177,2021-07-26,SC,city,6706
1278616,2021-07-26,SC,city,5058
1279038,2021-07-26,SC,city,4568
1279500,2021-07-26,SC,city,179
1279876,2021-07-26,SC,city,2002
1280333,2021-07-26,SC,city,526
1280775,2021-07-26,SC,city,6301
1281241,2021-07-26,SC,city,453
1281626,2021-07-26,SC,city,173
1281988,2021-07-26,SC,city,397
1282350,2021-07-26,SC,city,36918
1282836,2021-07-26,SC,city,3553
1283302,2021-07-26,SC,city,15300
1283761,2021-07-26,SC,city,587
1284192,2021-07-26,SC,city,1692
1284629,2021-07-26,SC,city,218
1285041,2021-07-26,SC,city,1759
1285452,2021-07-26,SC,city,1882
1285874,2021-07-26,SC,city,37679
1286360,2021-07-26,SC,city,1049
1286800,2021-07-26,SC,city,192
1287214,2021-07-26,SC,city,5005
1287633,2021-07-26,SC,city,1062
1288050,2021-07-26,SC,city,1992
1288472,2021-07-26,SC,city,494
1288886,2021-07-26,SC,city,444
1289302,2021-07-26,SC,city,669
1289733,2021-07-26,SC,city,365
1290141,2021-07-26,SC,city,874
1290551,2021-07-26,SC,city,1819
1290999,2021-07-26,SC,city,174
1291395,2021-07-26,SC,city,78530
1291889,2021-07-26,SC,city,399
1292267,2021-07-26,SC,city,6377
1292734,2021-07-26,SC,city,4793
1293181,2021-07-26,SC,city,345
1293561,2021-07-26,SC,city,440
1293974,2021-07-26,SC,city,3370
1294440,2021-07-26,SC,city,2018
1294885,2021-07-26,SC,city,8301
1295368,2021-07-26,SC,city,2666
1295840,2021-07-26,SC,city,2145
1296325,2021-07-26,SC,city,1351
1296766,2021-07-26,SC,city,3732
1297233,2021-07-26,SC,city,1963
1297648,2021-07-26,SC,city,6550
1298114,2021-07-26,SC,city,543
1298511,2021-07-26,SC,city,793
1298951,2021-07-26,SC,city,4401
1299408,2021-07-26,SC,city,258
