,Date,Período,Região,Estado,Variantes,Variantes relevantes,Frequência
466,2021-03,Mar 2021,Nordeste,Bahia,B.1.1.7 (Alfa),B.1.1.7 (Alfa),2
467,2021-03,Mar 2021,Nordeste,Bahia,Não VOC/VOI,Não VOC/VOI,7
468,2021-03,Mar 2021,Nordeste,Bahia,P.1 (Gama),P.1 (Gama),68
469,2021-03,Mar 2021,Nordeste,Bahia,P.1.2 (Gama),P.1.2 (Gama),3
470,2021-03,Mar 2021,Nordeste,Bahia,P.1.7,P.1.7,1
471,2021-03,Mar 2021,Nordeste,Bahia,P.2,P.2,8
472,2021-03,Mar 2021,Nordeste,Ceará,P.1 (Gama),P.1 (Gama),133
473,2021-03,Mar 2021,Nordeste,Ceará,P.1.2 (Gama),P.1.2 (Gama),1
474,2021-03,Mar 2021,Nordeste,Ceará,P.1.7,P.1.7,3
475,2021-03,Mar 2021,Nordeste,Ceará,P.2,P.2,2
476,2021-03,Mar 2021,Nordeste,Maranhão,Não VOC/VOI,Não VOC/VOI,3
477,2021-03,Mar 2021,Nordeste,Maranhão,P.1 (Gama),P.1 (Gama),25
478,2021-03,Mar 2021,Nordeste,Maranhão,P.1.2 (Gama),P.1.2 (Gama),3
479,2021-03,Mar 2021,Nordeste,Paraíba,B.1.1.7 (Alfa),B.1.1.7 (Alfa),1
480,2021-03,Mar 2021,Nordeste,Paraíba,P.1 (Gama),P.1 (Gama),32
481,2021-03,Mar 2021,Nordeste,Paraíba,P.2,P.2,3
482,2021-03,Mar 2021,Nordeste,Pernambuco,Não VOC/VOI,Não VOC/VOI,3
483,2021-03,Mar 2021,Nordeste,Pernambuco,P.1 (Gama),P.1 (Gama),3
484,2021-03,Mar 2021,Nordeste,Piauí,P.1 (Gama),P.1 (Gama),1
485,2021-03,Mar 2021,Nordeste,Rio Grande do Norte,P.1 (Gama),P.1 (Gama),10
486,2021-03,Mar 2021,Nordeste,Sergipe,P.1 (Gama),P.1 (Gama),35
487,2021-03,Mar 2021,Nordeste,Sergipe,P.1.2 (Gama),P.1.2 (Gama),12
488,2021-03,Mar 2021,Nordeste,Sergipe,P.2,P.2,3
489,2021-03,Mar 2021,Norte,Acre,P.1 (Gama),P.1 (Gama),31
490,2021-03,Mar 2021,Norte,Amapá,P.1 (Gama),P.1 (Gama),22
491,2021-03,Mar 2021,Norte,Amapá,P.2,P.2,1
492,2021-03,Mar 2021,Norte,Amazonas,Não VOC/VOI,Não VOC/VOI,2
493,2021-03,Mar 2021,Norte,Amazonas,P.1 (Gama),P.1 (Gama),141
494,2021-03,Mar 2021,Norte,Amazonas,P.1.2 (Gama),P.1.2 (Gama),8
495,2021-03,Mar 2021,Norte,Amazonas,P.1.3,P.1.3,4
496,2021-03,Mar 2021,Norte,Amazonas,P.1.4,P.1.4,3
497,2021-03,Mar 2021,Norte,Amazonas,P.1.6,P.1.6,1
498,2021-03,Mar 2021,Norte,Pará,P.1 (Gama),P.1 (Gama),36
499,2021-03,Mar 2021,Norte,Pará,P.2,P.2,1
500,2021-03,Mar 2021,Norte,Rondônia,P.1 (Gama),P.1 (Gama),2
501,2021-03,Mar 2021,Norte,Roraima,P.1 (Gama),P.1 (Gama),2
502,2021-03,Mar 2021,Norte,Tocantins,Não VOC/VOI,Não VOC/VOI,1
503,2021-03,Mar 2021,Norte,Tocantins,P.1 (Gama),P.1 (Gama),13
504,2021-03,Mar 2021,Norte,Tocantins,P.1.2 (Gama),P.1.2 (Gama),2
505,2021-03,Mar 2021,Norte,Tocantins,P.1.7,P.1.7,1
506,2021-03,Mar 2021,Sudeste,Espírito Santo,B.1.1.7 (Alfa),B.1.1.7 (Alfa),9
507,2021-03,Mar 2021,Sudeste,Espírito Santo,Não VOC/VOI,Não VOC/VOI,2
508,2021-03,Mar 2021,Sudeste,Espírito Santo,P.1 (Gama),P.1 (Gama),6
509,2021-03,Mar 2021,Sudeste,Espírito Santo,P.2,P.2,1
510,2021-03,Mar 2021,Sudeste,Minas Gerais,B.1.1.7 (Alfa),B.1.1.7 (Alfa),19
