,Data,Período,Região,Estado,Laboratório,Linhagens relevantes,Quantidade
127,2020-04-01,Abr 2020,Sudeste,Minas Gerais,Outros,Outras,6
128,2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1,1
129,2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.28,8
130,2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,85
131,2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,FIOCRUZ,Outras,4
132,2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,9
133,2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,140
134,2020-04-01,Abr 2020,Sudeste,Rio de Janeiro,Outros,Outras,7
135,2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1,19
136,2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1.28,326
137,2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,B.1.1.33,89
138,2020-04-01,Abr 2020,Sudeste,São Paulo,Outros,Outras,24
139,2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,B.1.1,1
140,2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,10
141,2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,2
142,2020-04-01,Abr 2020,Sul,Paraná,FIOCRUZ,Outras,2
143,2020-04-01,Abr 2020,Sul,Paraná,Outros,B.1.1,1
144,2020-04-01,Abr 2020,Sul,Paraná,Outros,B.1.1.28,4
145,2020-04-01,Abr 2020,Sul,Paraná,Outros,B.1.1.33,3
146,2020-04-01,Abr 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1,1
147,2020-04-01,Abr 2020,Sul,Rio Grande do Sul,FIOCRUZ,B.1.1.33,4
148,2020-04-01,Abr 2020,Sul,Rio Grande do Sul,Outros,B.1.1,3
149,2020-04-01,Abr 2020,Sul,Rio Grande do Sul,Outros,B.1.1.28,1
150,2020-04-01,Abr 2020,Sul,Rio Grande do Sul,Outros,B.1.1.33,18
151,2020-04-01,Abr 2020,Sul,Santa Catarina,Outros,B.1.1.28,1
152,2020-04-01,Abr 2020,Sul,Santa Catarina,Outros,B.1.1.33,2
153,2020-05-01,Mai 2020,Centro-oeste,Goiás,FIOCRUZ,B.1.1.33,1
154,2020-05-01,Mai 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.28,4
155,2020-05-01,Mai 2020,Centro-oeste,Mato Grosso do Sul,Outros,B.1.1.33,3
156,2020-05-01,Mai 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.28,1
157,2020-05-01,Mai 2020,Nordeste,Alagoas,FIOCRUZ,B.1.1.33,3
158,2020-05-01,Mai 2020,Nordeste,Bahia,Outros,B.1.1,1
159,2020-05-01,Mai 2020,Nordeste,Bahia,Outros,B.1.1.28,9
160,2020-05-01,Mai 2020,Nordeste,Bahia,Outros,B.1.1.33,5
161,2020-05-01,Mai 2020,Nordeste,Bahia,Outros,Outras,1
162,2020-05-01,Mai 2020,Nordeste,Ceará,FIOCRUZ,B.1.1.33,2
163,2020-05-01,Mai 2020,Nordeste,Ceará,FIOCRUZ,Outras,7
164,2020-05-01,Mai 2020,Nordeste,Maranhão,Outros,B.1.1.33,4
165,2020-05-01,Mai 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1,3
166,2020-05-01,Mai 2020,Nordeste,Paraíba,FIOCRUZ,B.1.1.33,2
167,2020-05-01,Mai 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1,30
168,2020-05-01,Mai 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.28,2
169,2020-05-01,Mai 2020,Nordeste,Pernambuco,FIOCRUZ,B.1.1.33,4
170,2020-05-01,Mai 2020,Nordeste,Pernambuco,FIOCRUZ,Outras,1
171,2020-05-01,Mai 2020,Norte,Acre,Outros,B.1.1.33,2
172,2020-05-01,Mai 2020,Norte,Amapá,Outros,B.1.1.33,6
173,2020-05-01,Mai 2020,Norte,Amazonas,FIOCRUZ,B.1.1,1
174,2020-05-01,Mai 2020,Norte,Amazonas,FIOCRUZ,B.1.1.28,8
175,2020-05-01,Mai 2020,Norte,Amazonas,FIOCRUZ,B.1.1.33,6
176,2020-05-01,Mai 2020,Norte,Amazonas,FIOCRUZ,Outras,11
177,2020-05-01,Mai 2020,Norte,Amazonas,Outros,Outras,2
178,2020-05-01,Mai 2020,Norte,Pará,Outros,B.1.1,1
179,2020-05-01,Mai 2020,Norte,Pará,Outros,B.1.1.28,6
180,2020-05-01,Mai 2020,Norte,Pará,Outros,B.1.1.33,2
181,2020-05-01,Mai 2020,Norte,Pará,Outros,Outras,1
182,2020-05-01,Mai 2020,Norte,Pará,Outros,P.2,1
183,2020-05-01,Mai 2020,Norte,Rondônia,Outros,B.1.1.33,5
184,2020-05-01,Mai 2020,Norte,Rondônia,Outros,Outras,2
185,2020-05-01,Mai 2020,Norte,Roraima,Outros,B.1.1.33,1
186,2020-05-01,Mai 2020,Sudeste,Espírito Santo,FIOCRUZ,B.1.1.33,3
187,2020-05-01,Mai 2020,Sudeste,Espírito Santo,Outros,B.1.1.33,2
188,2020-05-01,Mai 2020,Sudeste,Minas Gerais,Outros,B.1.1.28,4
189,2020-05-01,Mai 2020,Sudeste,Minas Gerais,Outros,B.1.1.33,3
190,2020-05-01,Mai 2020,Sudeste,Minas Gerais,Outros,Outras,1
191,2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,FIOCRUZ,B.1.1.33,8
192,2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,FIOCRUZ,Outras,1
193,2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,Outros,B.1.1,1
194,2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.28,2
195,2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,Outros,B.1.1.33,42
196,2020-05-01,Mai 2020,Sudeste,Rio de Janeiro,Outros,Outras,4
197,2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,B.1.1,2
198,2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,B.1.1.28,101
199,2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,B.1.1.33,17
200,2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,Outras,4
201,2020-05-01,Mai 2020,Sudeste,São Paulo,Outros,P.2,1
202,2020-05-01,Mai 2020,Sul,Paraná,FIOCRUZ,B.1.1,3
203,2020-05-01,Mai 2020,Sul,Paraná,FIOCRUZ,B.1.1.28,3
204,2020-05-01,Mai 2020,Sul,Paraná,FIOCRUZ,B.1.1.33,8
205,2020-05-01,Mai 2020,Sul,Paraná,FIOCRUZ,Outras,2
206,2020-05-01,Mai 2020,Sul,Paraná,Outros,B.1.1.33,1
