,Date,Período,Estado,Linhagem,Linhagens relevantes,Frequência
162,2020-04,Abr 2020,Rio Grande do Sul,B.1.1,B.1.1,2
163,2020-04,Abr 2020,Rio Grande do Sul,B.1.1.161,Outras,2
164,2020-04,Abr 2020,Rio Grande do Sul,B.1.1.28,B.1.1.28,1
165,2020-04,Abr 2020,Rio Grande do Sul,B.1.1.33,B.1.1.33,21
166,2020-04,Abr 2020,Rio de Janeiro,B.1,Outras,4
167,2020-04,Abr 2020,Rio de Janeiro,B.1.1,B.1.1,1
168,2020-04,Abr 2020,Rio de Janeiro,B.1.1.28,B.1.1.28,16
169,2020-04,Abr 2020,Rio de Janeiro,B.1.1.33,B.1.1.33,224
170,2020-04,Abr 2020,Rio de Janeiro,B.1.479,Outras,1
171,2020-04,Abr 2020,Rio de Janeiro,B.39,Outras,5
172,2020-04,Abr 2020,Roraima,B.1,Outras,1
173,2020-04,Abr 2020,Roraima,B.1.1.33,B.1.1.33,1
174,2020-04,Abr 2020,Santa Catarina,B.1.1.28,B.1.1.28,1
175,2020-04,Abr 2020,Santa Catarina,B.1.1.33,B.1.1.33,2
176,2020-04,Abr 2020,Sergipe,B.1,Outras,9
177,2020-04,Abr 2020,Sergipe,B.1.1,B.1.1,3
178,2020-04,Abr 2020,Sergipe,B.1.1.28,B.1.1.28,1
179,2020-04,Abr 2020,Sergipe,B.1.1.33,B.1.1.33,6
180,2020-04,Abr 2020,Sergipe,B.1.212,Outras,3
181,2020-04,Abr 2020,São Paulo,B.1,Outras,16
182,2020-04,Abr 2020,São Paulo,B.1.1,B.1.1,14
183,2020-04,Abr 2020,São Paulo,B.1.1.28,B.1.1.28,312
184,2020-04,Abr 2020,São Paulo,B.1.1.33,B.1.1.33,89
185,2020-04,Abr 2020,São Paulo,B.1.1.398,Outras,1
186,2020-04,Abr 2020,São Paulo,B.1.212,Outras,1
187,2020-04,Abr 2020,São Paulo,B.1.258,Outras,1
188,2020-04,Abr 2020,São Paulo,B.1.446,Outras,1
189,2020-05,Mai 2020,Acre,B.1.1.33,B.1.1.33,2
190,2020-05,Mai 2020,Alagoas,B.1.1.28,B.1.1.28,1
191,2020-05,Mai 2020,Alagoas,B.1.1.33,B.1.1.33,3
192,2020-05,Mai 2020,Amapá,B.1.1.33,B.1.1.33,6
193,2020-05,Mai 2020,Amazonas,B.1.1.28,B.1.1.28,9
194,2020-05,Mai 2020,Amazonas,B.1.1.33,B.1.1.33,6
195,2020-05,Mai 2020,Amazonas,B.1.111,Outras,3
196,2020-05,Mai 2020,Amazonas,B.1.195,Outras,10
197,2020-05,Mai 2020,Bahia,B.1,Outras,1
198,2020-05,Mai 2020,Bahia,B.1.1,B.1.1,1
199,2020-05,Mai 2020,Bahia,B.1.1.28,B.1.1.28,9
200,2020-05,Mai 2020,Bahia,B.1.1.33,B.1.1.33,5
201,2020-05,Mai 2020,Ceará,B.1.1.33,B.1.1.33,2
202,2020-05,Mai 2020,Ceará,B.1.212,Outras,7
203,2020-05,Mai 2020,Espírito Santo,B.1.1.33,B.1.1.33,5
204,2020-05,Mai 2020,Goiás,B.1.1.33,B.1.1.33,1
205,2020-05,Mai 2020,Maranhão,B.1.1.33,B.1.1.33,4
206,2020-05,Mai 2020,Mato Grosso do Sul,B.1.1.28,B.1.1.28,3
207,2020-05,Mai 2020,Mato Grosso do Sul,B.1.1.33,B.1.1.33,3
208,2020-05,Mai 2020,Minas Gerais,B.1,Outras,1
209,2020-05,Mai 2020,Minas Gerais,B.1.1.28,B.1.1.28,4
210,2020-05,Mai 2020,Minas Gerais,B.1.1.33,B.1.1.33,3
211,2020-05,Mai 2020,Paraná,B.1.1.1,Outras,2
212,2020-05,Mai 2020,Paraná,B.1.1.28,B.1.1.28,2
213,2020-05,Mai 2020,Paraná,B.1.1.33,B.1.1.33,12
214,2020-05,Mai 2020,Paraíba,B.1.1,B.1.1,3
215,2020-05,Mai 2020,Paraíba,B.1.1.33,B.1.1.33,2
216,2020-05,Mai 2020,Pará,B.1.1,B.1.1,2
217,2020-05,Mai 2020,Pará,B.1.1.28,B.1.1.28,6
218,2020-05,Mai 2020,Pará,B.1.1.33,B.1.1.33,2
219,2020-05,Mai 2020,Pará,B.1.212,Outras,1
220,2020-05,Mai 2020,Pará,P.1 (Gama),P.1 (Gama),2
221,2020-05,Mai 2020,Pará,P.2,P.2,2
222,2020-05,Mai 2020,Pernambuco,B.1.1,B.1.1,22
223,2020-05,Mai 2020,Pernambuco,B.1.1.236,Outras,8
224,2020-05,Mai 2020,Pernambuco,B.1.1.28,B.1.1.28,2
225,2020-05,Mai 2020,Pernambuco,B.1.1.33,B.1.1.33,4
226,2020-05,Mai 2020,Pernambuco,B.1.540,Outras,1
227,2020-05,Mai 2020,Rio Grande do Sul,B.1,Outras,1
228,2020-05,Mai 2020,Rio Grande do Sul,B.1.1,B.1.1,6
229,2020-05,Mai 2020,Rio Grande do Sul,B.1.1.161,Outras,2
230,2020-05,Mai 2020,Rio Grande do Sul,B.1.1.28,B.1.1.28,5
231,2020-05,Mai 2020,Rio Grande do Sul,B.1.1.33,B.1.1.33,50
232,2020-05,Mai 2020,Rio Grande do Sul,B.1.91,Outras,4
233,2020-05,Mai 2020,Rio de Janeiro,B.1,Outras,4
234,2020-05,Mai 2020,Rio de Janeiro,B.1.1,B.1.1,1
235,2020-05,Mai 2020,Rio de Janeiro,B.1.1.28,B.1.1.28,2
236,2020-05,Mai 2020,Rio de Janeiro,B.1.1.33,B.1.1.33,46
237,2020-05,Mai 2020,Rio de Janeiro,B.39,Outras,1
238,2020-05,Mai 2020,Rondônia,B.1.1.33,B.1.1.33,5
239,2020-05,Mai 2020,Rondônia,B.1.212,Outras,2
240,2020-05,Mai 2020,Roraima,B.1.1.33,B.1.1.33,1
241,2020-05,Mai 2020,Santa Catarina,B.1.1.33,B.1.1.33,2
242,2020-05,Mai 2020,Santa Catarina,B.1.195,Outras,1
243,2020-05,Mai 2020,São Paulo,B.1,Outras,2
244,2020-05,Mai 2020,São Paulo,B.1.1,B.1.1,1
245,2020-05,Mai 2020,São Paulo,B.1.1.208,Outras,1
246,2020-05,Mai 2020,São Paulo,B.1.1.28,B.1.1.28,73
247,2020-05,Mai 2020,São Paulo,B.1.1.33,B.1.1.33,14
248,2020-06,Jun 2020,Acre,B.1.1.33,B.1.1.33,2
249,2020-06,Jun 2020,Amazonas,B.1.1.28,B.1.1.28,10
250,2020-06,Jun 2020,Amazonas,B.1.1.33,B.1.1.33,1
251,2020-06,Jun 2020,Amazonas,B.1.195,Outras,4
252,2020-06,Jun 2020,Amazonas,B.1.212,Outras,1
253,2020-06,Jun 2020,Bahia,B.1,Outras,1
254,2020-06,Jun 2020,Bahia,B.1.1.28,B.1.1.28,6
255,2020-06,Jun 2020,Bahia,B.1.1.33,B.1.1.33,6
256,2020-06,Jun 2020,Ceará,B.1.1.33,B.1.1.33,2
257,2020-06,Jun 2020,Goiás,B.1.1.28,B.1.1.28,1
258,2020-06,Jun 2020,Goiás,B.1.1.33,B.1.1.33,11
259,2020-06,Jun 2020,Mato Grosso,B.1.1.28,B.1.1.28,2
260,2020-06,Jun 2020,Mato Grosso do Sul,B.1.1.28,B.1.1.28,1
261,2020-06,Jun 2020,Mato Grosso do Sul,B.1.1.33,B.1.1.33,1
262,2020-06,Jun 2020,Paraná,B.1.1,B.1.1,1
263,2020-06,Jun 2020,Paraná,B.1.1.1,Outras,2
264,2020-06,Jun 2020,Paraná,B.1.1.277,Outras,1
265,2020-06,Jun 2020,Paraná,B.1.1.28,B.1.1.28,23
266,2020-06,Jun 2020,Paraná,B.1.1.33,B.1.1.33,74
267,2020-06,Jun 2020,Paraíba,B.1.1,B.1.1,5
