,Date,Período,Linhagem,Frequência
69,2021-02,Fev 2021,B.1.1,13
70,2021-02,Fev 2021,B.1.1.28,134
71,2021-02,Fev 2021,B.1.1.33,12
72,2021-02,Fev 2021,B.1.1.7 (Alfa),58
73,2021-02,Fev 2021,None,226
74,2021-02,Fev 2021,Outras,76
75,2021-02,Fev 2021,P.1 (Gama),1267
76,2021-02,Fev 2021,P.1.2 (Gama),67
77,2021-02,Fev 2021,P.2,567
78,2021-03,Mar 2021,B.1.1,5
79,2021-03,Mar 2021,B.1.1.28,68
80,2021-03,Mar 2021,B.1.1.33,3
81,2021-03,Mar 2021,B.1.1.7 (Alfa),159
82,2021-03,Mar 2021,None,185
83,2021-03,Mar 2021,Outras,95
84,2021-03,Mar 2021,P.1 (Gama),3051
85,2021-03,Mar 2021,P.1.2 (Gama),90
86,2021-03,Mar 2021,P.1.4,3
87,2021-03,Mar 2021,P.1.7,9
88,2021-03,Mar 2021,P.2,189
89,2021-04,Abr 2021,B.1.1,2
90,2021-04,Abr 2021,B.1.1.28,16
91,2021-04,Abr 2021,B.1.1.7 (Alfa),129
92,2021-04,Abr 2021,B.1.617.2 (Delta),6
93,2021-04,Abr 2021,None,98
94,2021-04,Abr 2021,Outras,115
95,2021-04,Abr 2021,P.1 (Gama),3957
96,2021-04,Abr 2021,P.1.2 (Gama),117
97,2021-04,Abr 2021,P.1.4,29
98,2021-04,Abr 2021,P.1.7,40
99,2021-04,Abr 2021,P.2,42
100,2021-05,Mai 2021,B.1.1.28,29
101,2021-05,Mai 2021,B.1.1.7 (Alfa),129
102,2021-05,Mai 2021,B.1.617.2 (Delta),7
103,2021-05,Mai 2021,None,35
104,2021-05,Mai 2021,Outras,200
105,2021-05,Mai 2021,P.1 (Gama),4607
106,2021-05,Mai 2021,P.1.2 (Gama),136
107,2021-05,Mai 2021,P.1.4,70
108,2021-05,Mai 2021,P.1.7,137
109,2021-05,Mai 2021,P.2,3
110,2021-06,Jun 2021,B.1.1,3
111,2021-06,Jun 2021,B.1.1.28,1
112,2021-06,Jun 2021,B.1.1.7 (Alfa),41
113,2021-06,Jun 2021,B.1.617.2 (Delta),73
114,2021-06,Jun 2021,None,28
115,2021-06,Jun 2021,Outras,174
116,2021-06,Jun 2021,P.1 (Gama),2492
117,2021-06,Jun 2021,P.1.2 (Gama),67
118,2021-06,Jun 2021,P.1.4,147
119,2021-06,Jun 2021,P.1.7,208
120,2021-06,Jun 2021,P.2,1
121,2021-07,Jul 2021,B.1.1.28,1
122,2021-07,Jul 2021,B.1.1.7 (Alfa),1
123,2021-07,Jul 2021,B.1.617.2 (Delta),202
124,2021-07,Jul 2021,None,1
125,2021-07,Jul 2021,Outras,19
126,2021-07,Jul 2021,P.1 (Gama),606
127,2021-07,Jul 2021,P.1.2 (Gama),24
128,2021-07,Jul 2021,P.1.4,43
129,2021-07,Jul 2021,P.1.7,79
130,2021-07,Jul 2021,P.2,1
