,Date,Período,Estado,Linhagem,Frequência
158,2020-05,Mai 2020,Rio Grande do Sul,B.1.1.33,50
159,2020-05,Mai 2020,Rio Grande do Sul,Outras,7
160,2020-05,Mai 2020,Rio de Janeiro,B.1.1,1
161,2020-05,Mai 2020,Rio de Janeiro,B.1.1.28,2
162,2020-05,Mai 2020,Rio de Janeiro,B.1.1.33,46
163,2020-05,Mai 2020,Rio de Janeiro,Outras,5
164,2020-05,Mai 2020,Rondônia,B.1.1.33,5
165,2020-05,Mai 2020,Rondônia,Outras,2
166,2020-05,Mai 2020,Roraima,B.1.1.33,1
167,2020-05,Mai 2020,Santa Catarina,B.1.1.33,2
168,2020-05,Mai 2020,Santa Catarina,Outras,1
169,2020-05,Mai 2020,São Paulo,B.1.1,1
170,2020-05,Mai 2020,São Paulo,B.1.1.28,72
171,2020-05,Mai 2020,São Paulo,B.1.1.33,14
172,2020-05,Mai 2020,São Paulo,Outras,6
173,2020-06,Jun 2020,Acre,B.1.1.33,2
174,2020-06,Jun 2020,Amazonas,B.1.1.28,10
175,2020-06,Jun 2020,Amazonas,B.1.1.33,1
176,2020-06,Jun 2020,Amazonas,Outras,5
177,2020-06,Jun 2020,Bahia,B.1.1.28,6
178,2020-06,Jun 2020,Bahia,B.1.1.33,6
179,2020-06,Jun 2020,Bahia,Outras,1
180,2020-06,Jun 2020,Ceará,B.1.1.33,2
181,2020-06,Jun 2020,Goiás,B.1.1.28,1
182,2020-06,Jun 2020,Goiás,B.1.1.33,11
183,2020-06,Jun 2020,Mato Grosso,B.1.1.28,2
184,2020-06,Jun 2020,Mato Grosso do Sul,B.1.1.28,1
185,2020-06,Jun 2020,Mato Grosso do Sul,B.1.1.33,1
186,2020-06,Jun 2020,Paraná,B.1.1,3
187,2020-06,Jun 2020,Paraná,B.1.1.28,24
188,2020-06,Jun 2020,Paraná,B.1.1.33,72
189,2020-06,Jun 2020,Paraná,Outras,2
190,2020-06,Jun 2020,Paraíba,B.1.1,5
191,2020-06,Jun 2020,Paraíba,B.1.1.33,1
