,Date,Período,País,Linhagem,Quantidade
44,2020-11,Nov 2020,Bahamas,B.1.240,4
45,2020-11,Nov 2020,Guatemala,B.1,1
46,2020-11,Nov 2020,Guatemala,B.1.1.368,1
47,2020-11,Nov 2020,Guatemala,B.1.1.432,1
48,2020-11,Nov 2020,Guatemala,B.1.189,1
49,2020-11,Nov 2020,Haiti,B.1,4
51,2020-11,Nov 2020,Paraguai,B.1.1.33,1
53,2020-12,Dez 2020,Haiti,B.1.126,3
52,2020-12,Dez 2020,Haiti,B.1,7
54,2021-01,Jan 2021,Bahamas,B.1.2,2
55,2021-01,Jan 2021,Bahamas,B.1.595,1
56,2021-01,Jan 2021,Guatemala,B.1.111,1
57,2021-01,Jan 2021,Guatemala,B.1.241,1
58,2021-01,Jan 2021,Haiti,B.1,1
59,2021-01,Jan 2021,Honduras,B.1,3
60,2021-01,Jan 2021,Honduras,B.1.396,1
61,2021-01,Jan 2021,Honduras,B.1.627,5
62,2021-01,Jan 2021,Honduras,B.1.628,2
63,2021-01,Jan 2021,Jamaica,B.1.1.7 (Alfa),2
71,2021-02,Fev 2021,Jamaica,B.1.1.7 (Alfa),83
70,2021-02,Fev 2021,Honduras,B.1.636,5
69,2021-02,Fev 2021,Honduras,B.1.627,8
68,2021-02,Fev 2021,Honduras,B.1.596,2
66,2021-02,Fev 2021,Honduras,B.1.1,1
65,2021-02,Fev 2021,Honduras,A.2.5,1
64,2021-02,Fev 2021,Haiti,B.1.575,1
67,2021-02,Fev 2021,Honduras,B.1.2,1
81,2021-03,Mar 2021,Jamaica,B.1.526 (Iota),1
88,2021-03,Mar 2021,Rep. Dominicana,P.1 (Gama),2
87,2021-03,Mar 2021,Rep. Dominicana,B.1.637,2
86,2021-03,Mar 2021,Rep. Dominicana,B.1.630,1
85,2021-03,Mar 2021,Rep. Dominicana,B.1.623,2
84,2021-03,Mar 2021,Rep. Dominicana,B.1.575,17
83,2021-03,Mar 2021,Rep. Dominicana,B.1,1
82,2021-03,Mar 2021,Rep. Dominicana,A.2.5,3
80,2021-03,Mar 2021,Jamaica,B.1.1.7 (Alfa),36
75,2021-03,Mar 2021,Bahamas,B.1.623,3
78,2021-03,Mar 2021,Bolívia,B.1.575,1
77,2021-03,Mar 2021,Bolívia,B.1.1.348,1
76,2021-03,Mar 2021,Bolívia,B.1.1.274,1
74,2021-03,Mar 2021,Bahamas,B.1.427,1
73,2021-03,Mar 2021,Bahamas,B.1.1.7 (Alfa),4
72,2021-03,Mar 2021,Bahamas,B.1.1.434,1
79,2021-03,Mar 2021,Bolívia,P.1 (Gama),8
92,2021-04,Abr 2021,Jamaica,B.1.1.7 (Alfa),4
91,2021-04,Abr 2021,Bahamas,B.1.623,1
90,2021-04,Abr 2021,Bahamas,B.1.526 (Iota),1
89,2021-04,Abr 2021,Bahamas,B.1.1.7 (Alfa),22
101,2021-05,Mai 2021,Rep. Dominicana,B.1.621 (Mu),2
105,2021-05,Mai 2021,Rep. Dominicana,C.37.1,3
104,2021-05,Mai 2021,Rep. Dominicana,B.1.637,2
103,2021-05,Mai 2021,Rep. Dominicana,B.1.630,2
102,2021-05,Mai 2021,Rep. Dominicana,B.1.621.1,8
100,2021-05,Mai 2021,Rep. Dominicana,B.1.526 (Iota),1
106,2021-05,Mai 2021,Rep. Dominicana,P.1 (Gama),9
98,2021-05,Mai 2021,Rep. Dominicana,B.1,2
97,2021-05,Mai 2021,Jamaica,Q.1 (Alfa),1
96,2021-05,Mai 2021,Jamaica,B.1.1.7 (Alfa),11
95,2021-05,Mai 2021,Haiti,P.1.10 (Gama),4
94,2021-05,Mai 2021,Haiti,P.1 (Gama),43
93,2021-05,Mai 2021,Haiti,B.1.1.7 (Alfa),1
99,2021-05,Mai 2021,Rep. Dominicana,B.1.1.7 (Alfa),2
107,2021-05,Mai 2021,Rep. Dominicana,P.1.10 (Gama),1
