,Date,Período,Região,Estado,Linhagens relevantes,Quantidade
289,2020-08,Ago 2020,Sudeste,São Paulo,Outras,1
290,2020-08,Ago 2020,Sul,Paraná,B.1.1,2
291,2020-08,Ago 2020,Sul,Paraná,B.1.1.28,9
292,2020-08,Ago 2020,Sul,Paraná,B.1.1.33,7
293,2020-08,Ago 2020,Sul,Paraná,Outras,2
294,2020-08,Ago 2020,Sul,Rio Grande do Sul,B.1.1,6
295,2020-08,Ago 2020,Sul,Rio Grande do Sul,B.1.1.28,39
296,2020-08,Ago 2020,Sul,Rio Grande do Sul,B.1.1.33,60
297,2020-08,Ago 2020,Sul,Rio Grande do Sul,Outras,18
298,2020-08,Ago 2020,Sul,Santa Catarina,B.1.1.28,1
299,2020-08,Ago 2020,Sul,Santa Catarina,B.1.1.33,1
300,2020-09,Set 2020,Centro-oeste,Distrito Federal,B.1.1,1
301,2020-09,Set 2020,Centro-oeste,Distrito Federal,B.1.1.28,2
302,2020-09,Set 2020,Centro-oeste,Distrito Federal,B.1.1.33,1
303,2020-09,Set 2020,Centro-oeste,Distrito Federal,P.2,2
304,2020-09,Set 2020,Centro-oeste,Goiás,B.1.1,1
305,2020-09,Set 2020,Centro-oeste,Goiás,B.1.1.28,1
306,2020-09,Set 2020,Centro-oeste,Goiás,B.1.1.33,4
307,2020-09,Set 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.28,2
308,2020-09,Set 2020,Centro-oeste,Mato Grosso do Sul,B.1.1.33,6
309,2020-09,Set 2020,Nordeste,Bahia,B.1.1,3
310,2020-09,Set 2020,Nordeste,Bahia,B.1.1.28,9
311,2020-09,Set 2020,Nordeste,Bahia,B.1.1.33,12
312,2020-09,Set 2020,Nordeste,Bahia,Outras,1
313,2020-09,Set 2020,Nordeste,Ceará,B.1.1.33,1
314,2020-09,Set 2020,Nordeste,Paraíba,B.1.1,9
315,2020-09,Set 2020,Nordeste,Paraíba,B.1.1.33,2
316,2020-09,Set 2020,Nordeste,Pernambuco,B.1.1,27
317,2020-09,Set 2020,Nordeste,Pernambuco,B.1.1.28,83
318,2020-09,Set 2020,Nordeste,Pernambuco,B.1.1.33,25
319,2020-09,Set 2020,Nordeste,Pernambuco,Outras,17
320,2020-09,Set 2020,Nordeste,Rio Grande do Norte,B.1.1,4
321,2020-09,Set 2020,Nordeste,Rio Grande do Norte,B.1.1.33,5
322,2020-09,Set 2020,Nordeste,Rio Grande do Norte,Outras,1
